event_year,event_week,respiratory_category,percent
2018,5,Broad Acute Respiratory,20.06
2018,5,COVID-19,0.00
2018,5,Influenza,5.45
2018,5,RSV,0.30
2018,5,ILI,8.09
2018,6,Broad Acute Respiratory,18.95
2018,6,COVID-19,0.00
2018,6,Influenza,4.41
2018,6,RSV,0.26
2018,6,ILI,7.14
2018,7,Broad Acute Respiratory,15.69
2018,7,COVID-19,0.00
2018,7,Influenza,3.22
2018,7,RSV,0.13
2018,7,ILI,5.52
2018,8,Broad Acute Respiratory,13.87
2018,8,COVID-19,0.00
2018,8,Influenza,2.25
2018,8,RSV,0.15
2018,8,ILI,4.49
2018,9,Broad Acute Respiratory,13.27
2018,9,COVID-19,0.00
2018,9,Influenza,1.64
2018,9,RSV,0.22
2018,9,ILI,3.74
2018,10,Broad Acute Respiratory,12.74
2018,10,COVID-19,0.00
2018,10,Influenza,1.32
2018,10,RSV,0.13
2018,10,ILI,3.38
2018,11,Broad Acute Respiratory,12.20
2018,11,COVID-19,0.00
2018,11,Influenza,1.12
2018,11,RSV,0.19
2018,11,ILI,3.14
2018,12,Broad Acute Respiratory,12.52
2018,12,COVID-19,0.00
2018,12,Influenza,0.99
2018,12,RSV,0.08
2018,12,ILI,3.02
2018,13,Broad Acute Respiratory,11.69
2018,13,COVID-19,0.00
2018,13,Influenza,0.99
2018,13,RSV,0.10
2018,13,ILI,2.82
2018,14,Broad Acute Respiratory,11.49
2018,14,COVID-19,0.00
2018,14,Influenza,0.62
2018,14,RSV,0.09
2018,14,ILI,2.69
2018,15,Broad Acute Respiratory,10.33
2018,15,COVID-19,0.00
2018,15,Influenza,0.56
2018,15,RSV,0.08
2018,15,ILI,2.15
2018,16,Broad Acute Respiratory,10.55
2018,16,COVID-19,0.00
2018,16,Influenza,0.34
2018,16,RSV,0.06
2018,16,ILI,2.23
2018,17,Broad Acute Respiratory,9.77
2018,17,COVID-19,0.00
2018,17,Influenza,0.29
2018,17,RSV,0.07
2018,17,ILI,1.82
2018,18,Broad Acute Respiratory,9.47
2018,18,COVID-19,0.00
2018,18,Influenza,0.21
2018,18,RSV,0.03
2018,18,ILI,1.74
2018,19,Broad Acute Respiratory,8.46
2018,19,COVID-19,0.00
2018,19,Influenza,0.12
2018,19,RSV,0.04
2018,19,ILI,1.55
2018,20,Broad Acute Respiratory,8.45
2018,20,COVID-19,0.00
2018,20,Influenza,0.05
2018,20,RSV,0.02
2018,20,ILI,1.61
2018,21,Broad Acute Respiratory,8.72
2018,21,COVID-19,0.00
2018,21,Influenza,0.06
2018,21,RSV,0.05
2018,21,ILI,1.59
2018,22,Broad Acute Respiratory,8.26
