event_year,event_season,respiratory_category,percent
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,0.83
2016,2015-2016,Broad Acute Respiratory,5.13
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.02
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,0.77
2016,2015-2016,Broad Acute Respiratory,5.55
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.03
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,0.90
2016,2015-2016,Broad Acute Respiratory,7.47
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.05
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,1.30
2016,2015-2016,Broad Acute Respiratory,7.76
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.02
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,1.60
2016,2015-2016,Broad Acute Respiratory,7.94
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.06
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,1.51
2016,2016-2017,Broad Acute Respiratory,7.34
2016,2016-2017,COVID-19,0.00
2016,2016-2017,Influenza,0.05
2016,2016-2017,RSV,0.01
2016,2016-2017,ILI,1.38
2016,2016-2017,Broad Acute Respiratory,7.98
2016,2016-2017,COVID-19,0.00
2016,2016-2017,Influenza,0.09
2016,2016-2017,RSV,0.01
2016,2016-2017,ILI,1.61
2016,2016-2017,Broad Acute Respiratory,8.13
2016,2016-2017,COVID-19,0.00
2016,2016-2017,Influenza,0.09
2016,2016-2017,RSV,0.00
2016,2016-2017,ILI,1.51
2016,2016-2017,Broad Acute Respiratory,8.83
2016,2016-2017,COVID-19,0.00
2016,2016-2017,Influenza,0.08
2016,2016-2017,RSV,0.02
2016,2016-2017,ILI,1.75
2016,2016-2017,Broad Acute Respiratory,8.60
2016,2016-2017,COVID-19,0.00
2016,2016-2017,Influenza,0.07
2016,2016-2017,RSV,0.02
2016,2016-2017,ILI,1.79
2016,2016-2017,Broad Acute Respiratory,9.42
2016,2016-2017,COVID-19,0.00
2016,2016-2017,Influenza,0.10
2016,2016-2017,RSV,0.02
2016,2016-2017,ILI,1.66
2016,2016-2017,Broad Acute Respiratory,9.54
2016,2016-2017,COVID-19,0.00
2016,2016-2017,Influenza,0.07
2016,2016-2017,RSV,0.04
2016,2016-2017,ILI,1.91
2016,2016-2017,Broad Acute Respiratory,10.43
2016,2016-2017,COVID-19,0.00
2016,2016-2017,Influenza,0.07
2016,2016-2017,RSV,0.06
2016,2016-2017,ILI,1.98
2016,2016-2017,Broad Acute Respiratory,9.87
2016,2016-2017,COVID-19,0.00
2016,2016-2017,Influenza,0.11
2016,2016-2017,RSV,0.04
2016,2016-2017,ILI,1.89
2016,2016-2017,Broad Acute Respiratory,9.89
2016,2016-2017,COVID-19,0.00
2016,2016-2017,Influenza,0.12
2016,2016-2017,RSV,0.09
2016,2016-2017,ILI,1.98
2016,2016-2017,Broad Acute Respiratory,10.35
2016,2016-2017,COVID-19,0.00
2016,2016-2017,Influenza,0.13
2016,2016-2017,RSV,0.08
2016,2016-2017,ILI,2.32
2016,2016-2017,Broad Acute Respiratory,10.20
2016,2016-2017,COVID-19,0.00
2016,2016-2017,Influenza,0.15
2016,2016-2017,RSV,0.12
2016,2016-2017,ILI,2.38
2016,2016-2017,Broad Acute Respiratory,11.96
2016,2016-2017,COVID-19,0.00
2016,2016-2017,Influenza,0.34
2016,2016-2017,RSV,0.20
2016,2016-2017,ILI,2.85
2017,2016-2017,Broad Acute Respiratory,11.99
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.38
2017,2016-2017,RSV,0.27
2017,2016-2017,ILI,2.90
2017,2016-2017,Broad Acute Respiratory,10.62
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.43
2017,2016-2017,RSV,0.13
2017,2016-2017,ILI,2.48
2017,2016-2017,Broad Acute Respiratory,10.69
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.56
2017,2016-2017,RSV,0.15
2017,2016-2017,ILI,2.60
2017,2016-2017,Broad Acute Respiratory,11.11
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.69
2017,2016-2017,RSV,0.23
2017,2016-2017,ILI,2.96
2017,2016-2017,Broad Acute Respiratory,11.80
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,1.00
2017,2016-2017,RSV,0.18
2017,2016-2017,ILI,3.24
2017,2016-2017,Broad Acute Respiratory,13.49
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,1.44
2017,2016-2017,RSV,0.20
2017,2016-2017,ILI,3.67
2017,2016-2017,Broad Acute Respiratory,13.69
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,1.82
2017,2016-2017,RSV,0.17
2017,2016-2017,ILI,4.29
2017,2016-2017,Broad Acute Respiratory,13.58
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,1.97
2017,2016-2017,RSV,0.12
2017,2016-2017,ILI,4.47
2017,2016-2017,Broad Acute Respiratory,12.68
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,1.50
2017,2016-2017,RSV,0.07
2017,2016-2017,ILI,3.87
2017,2016-2017,Broad Acute Respiratory,12.21
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,1.34
2017,2016-2017,RSV,0.13
2017,2016-2017,ILI,3.64
2017,2016-2017,Broad Acute Respiratory,12.32
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,1.38
2017,2016-2017,RSV,0.10
2017,2016-2017,ILI,3.73
2017,2016-2017,Broad Acute Respiratory,12.75
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,1.14
2017,2016-2017,RSV,0.06
2017,2016-2017,ILI,3.55
2017,2016-2017,Broad Acute Respiratory,11.91
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,1.11
2017,2016-2017,RSV,0.04
2017,2016-2017,ILI,3.30
2017,2016-2017,Broad Acute Respiratory,11.41
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.83
2017,2016-2017,RSV,0.03
2017,2016-2017,ILI,2.95
2017,2016-2017,Broad Acute Respiratory,10.52
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.61
2017,2016-2017,RSV,0.04
2017,2016-2017,ILI,2.08
2017,2016-2017,Broad Acute Respiratory,8.54
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.31
2017,2016-2017,RSV,0.03
2017,2016-2017,ILI,1.84
2017,2016-2017,Broad Acute Respiratory,8.44
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.14
2017,2016-2017,RSV,0.02
2017,2016-2017,ILI,1.70
2017,2016-2017,Broad Acute Respiratory,8.34
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.09
2017,2016-2017,RSV,0.01
2017,2016-2017,ILI,1.51
2017,2016-2017,Broad Acute Respiratory,8.64
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.11
2017,2016-2017,RSV,0.02
2017,2016-2017,ILI,1.68
2017,2016-2017,Broad Acute Respiratory,8.12
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.04
2017,2016-2017,RSV,0.01
2017,2016-2017,ILI,1.59
2017,2016-2017,Broad Acute Respiratory,7.92
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.05
2017,2016-2017,RSV,0.01
2017,2016-2017,ILI,1.53
2017,2016-2017,Broad Acute Respiratory,7.36
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.06
2017,2016-2017,RSV,0.00
2017,2016-2017,ILI,1.49
2017,2016-2017,Broad Acute Respiratory,6.95
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.04
2017,2016-2017,RSV,0.00
2017,2016-2017,ILI,1.17
2017,2016-2017,Broad Acute Respiratory,6.26
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.02
2017,2016-2017,RSV,0.01
2017,2016-2017,ILI,1.17
2017,2016-2017,Broad Acute Respiratory,6.01
2017,2016-2017,COVID-19,0.00
