season,respiratory_category,visit_type,demographic_group,avg_percent,max_percent,min_percent
2022-2023,COVID-19,Admissions,18_44,0.952500,2.37,0.06
2025-2026,COVID-19,Admissions,45_64,0.448333,2.01,0.00
2018-2019,Broad Acute Respiratory,ED Visits,18_44,7.179231,10.74,4.34
2025-2026,COVID-19,ED Visits,45_64,0.335476,1.32,0.00
2024-2025,RSV,Admissions,18_44,0.067692,0.40,0.00
2025-2026,RSV,ED Visits,65+,0.167857,0.63,0.00
2023-2024,Broad Acute Respiratory,Admissions,05_17,17.522692,28.46,6.43
2018-2019,Influenza,ED Visits,45_64,0.352308,1.27,0.00
2023-2024,Broad Acute Respiratory,ED Visits,05_17,21.292885,36.66,9.24
2025-2026,Broad Acute Respiratory,ED Visits,00_04,35.411429,53.85,16.99
2017-2018,Influenza,ED Visits,05_17,2.132885,14.46,0.00
2019-2020,Broad Acute Respiratory,Admissions,05_17,14.637500,29.76,3.41
2023-2024,Influenza,Admissions,00_04,0.494615,2.41,0.00
2017-2018,ILI,ED Visits,65+,1.153654,4.27,0.18
2015-2016,Influenza,ED Visits,65+,0.131346,0.93,0.00
2022-2023,ILI,Admissions,18_44,0.405769,1.45,0.00
2025-2026,COVID-19,ED Visits,00_04,1.140476,4.85,0.00
2024-2025,COVID-19,Admissions,00_04,0.342500,1.33,0.00
2019-2020,RSV,Admissions,18_44,0.060000,0.47,0.00
2020-2021,RSV,ED Visits,05_17,0.027308,0.36,0.00
2025-2026,Broad Acute Respiratory,ED Visits,65+,12.121429,20.18,6.03
2020-2021,RSV,Admissions,45_64,0.015577,0.13,0.00
2022-2023,Influenza,ED Visits,05_17,2.604808,23.77,0.04
2015-2016,RSV,ED Visits,45_64,0.006923,0.06,0.00
2025-2026,Broad Acute Respiratory,Admissions,18_44,6.377143,11.51,2.25
2025-2026,RSV,ED Visits,18_44,0.056190,0.23,0.00
2017-2018,Broad Acute Respiratory,ED Visits,45_64,7.475192,15.58,4.09
2018-2019,RSV,ED Visits,45_64,0.023846,0.21,0.00
2021-2022,Influenza,Admissions,18_44,0.118846,0.68,0.00
2024-2025,RSV,Admissions,00_04,1.673462,11.24,0.00
2025-2026,RSV,ED Visits,00_04,2.420238,6.53,0.00
2017-2018,RSV,ED Visits,65+,0.056538,0.30,0.00
2020-2021,Influenza,ED Visits,65+,0.040385,0.14,0.00
2021-2022,Influenza,Admissions,00_04,0.079615,0.64,0.00
2023-2024,COVID-19,Admissions,00_04,0.669615,2.13,0.00
2015-2016,Broad Acute Respiratory,ED Visits,18_44,4.279808,6.40,2.72
2023-2024,RSV,Admissions,45_64,0.134808,0.80,0.00
2020-2021,RSV,Admissions,18_44,0.012500,0.12,0.00
2022-2023,Broad Acute Respiratory,ED Visits,45_64,8.502115,16.26,5.25
2022-2023,RSV,ED Visits,45_64,0.044231,0.19,0.00
2024-2025,COVID-19,ED Visits,00_04,1.418462,4.50,0.17
2016-2017,Broad Acute Respiratory,ED Visits,18_44,6.344231,9.49,3.29
2019-2020,RSV,ED Visits,65+,0.070385,0.47,0.00
2025-2026,Influenza,ED Visits,65+,0.730714,5.78,0.00
2016-2017,RSV,ED Visits,45_64,0.007500,0.04,0.00
2016-2017,ILI,ED Visits,18_44,1.306346,2.75,0.47
2018-2019,COVID-19,ED Visits,00_04,0.000000,0.00,0.00
2021-2022,ILI,Admissions,65+,0.336923,1.13,0.05
2023-2024,Broad Acute Respiratory,Admissions,45_64,15.525962,23.99,11.93
2020-2021,Influenza,Admissions,05_17,0.016154,0.84,0.00
2021-2022,Influenza,ED Visits,45_64,0.115577,0.60,0.00
2017-2018,RSV,ED Visits,00_04,0.981731,3.69,0.00
2015-2016,COVID-19,ED Visits,05_17,0.000000,0.00,0.00
2019-2020,COVID-19,ED Visits,45_64,2.213462,12.20,0.00
2021-2022,Influenza,Admissions,05_17,0.294038,2.63,0.00
2021-2022,ILI,Admissions,00_04,0.346538,1.06,0.00
2022-2023,ILI,Admissions,05_17,1.074808,5.83,0.00
2025-2026,RSV,Admissions,18_44,0.060714,0.44,0.00
2015-2016,Broad Acute Respiratory,ED Visits,00_04,18.613654,26.91,12.60
2017-2018,COVID-19,ED Visits,45_64,0.000000,0.00,0.00
2022-2023,RSV,ED Visits,00_04,1.788269,10.20,0.00
2024-2025,ILI,ED Visits,65+,0.806731,2.45,0.19
2016-2017,RSV,ED Visits,00_04,0.482308,2.33,0.00
2018-2019,RSV,ED Visits,18_44,0.006923,0.06,0.00
2019-2020,ILI,Admissions,18_44,1.071346,4.22,0.16
2016-2017,Influenza,ED Visits,65+,0.273462,1.42,0.00
2025-2026,COVID-19,ED Visits,18_44,0.299048,1.34,0.00
2015-2016,RSV,ED Visits,00_04,0.337115,1.61,0.00
2020-2021,Influenza,Admissions,65+,0.058077,0.27,0.00
2023-2024,RSV,Admissions,18_44,0.049038,0.27,0.00
2015-2016,COVID-19,ED Visits,65+,0.000000,0.00,0.00
2023-2024,COVID-19,Admissions,18_44,0.681731,2.18,0.00
2023-2024,Influenza,Admissions,45_64,0.769615,4.63,0.00
2018-2019,Broad Acute Respiratory,ED Visits,45_64,7.393269,11.08,4.51
2022-2023,Influenza,Admissions,05_17,1.456346,16.50,0.00
2019-2020,ILI,Admissions,65+,1.330769,5.05,0.17
2020-2021,RSV,ED Visits,00_04,0.870000,3.94,0.00
2024-2025,Influenza,Admissions,65+,1.277885,6.40,0.00
2022-2023,RSV,Admissions,45_64,0.084615,0.58,0.00
2023-2024,ILI,ED Visits,18_44,1.593077,4.14,0.51
2021-2022,Broad Acute Respiratory,Admissions,00_04,7.591346,14.98,3.70
2021-2022,Broad Acute Respiratory,Admissions,65+,20.947308,47.14,14.98
2021-2022,Influenza,ED Visits,65+,0.134231,0.70,0.00
2021-2022,COVID-19,Admissions,45_64,5.309808,31.42,0.77
2020-2021,Broad Acute Respiratory,ED Visits,05_17,13.263462,21.92,7.05
2025-2026,Influenza,Admissions,65+,0.999762,8.46,0.00
2022-2023,Broad Acute Respiratory,Admissions,18_44,6.005192,10.78,3.91
2023-2024,Influenza,ED Visits,45_64,0.730577,4.29,0.00
2015-2016,Influenza,ED Visits,45_64,0.124423,0.84,0.00
2021-2022,Broad Acute Respiratory,ED Visits,18_44,7.985192,25.14,3.78
2021-2022,RSV,Admissions,18_44,0.026346,0.25,0.00
2022-2023,RSV,Admissions,00_04,1.383462,9.82,0.00
2024-2025,COVID-19,ED Visits,65+,0.905769,2.33,0.13
2020-2021,Broad Acute Respiratory,ED Visits,65+,12.299423,23.32,7.16
2020-2021,RSV,ED Visits,65+,0.009808,0.13,0.00
2019-2020,RSV,ED Visits,05_17,0.028269,0.20,0.00
2019-2020,Broad Acute Respiratory,Admissions,45_64,20.486923,45.00,12.41
2021-2022,Broad Acute Respiratory,ED Visits,65+,12.826154,31.00,9.02
2017-2018,Influenza,ED Visits,18_44,0.568846,3.11,0.00
2017-2018,RSV,ED Visits,05_17,0.035385,0.16,0.00
2024-2025,RSV,ED Visits,00_04,2.114423,10.22,0.00
2024-2025,Influenza,ED Visits,00_04,3.898846,18.57,0.00
2022-2023,ILI,ED Visits,05_17,3.684808,13.48,0.77
2015-2016,ILI,ED Visits,05_17,4.105962,9.19,1.56
2024-2025,ILI,Admissions,00_04,0.349231,1.25,0.00
2020-2021,ILI,Admissions,00_04,0.229038,1.58,0.00
2015-2016,ILI,ED Visits,45_64,0.845192,2.56,0.19
2025-2026,Influenza,Admissions,00_04,0.604048,4.30,0.00
2023-2024,ILI,Admissions,00_04,0.488269,2.28,0.00
2019-2020,RSV,Admissions,00_04,2.079038,14.38,0.00
2016-2017,RSV,ED Visits,65+,0.016731,0.10,0.00
2024-2025,ILI,Admissions,45_64,0.740385,2.30,0.07
2025-2026,Influenza,Admissions,05_17,2.392619,15.39,0.00
2020-2021,COVID-19,ED Visits,05_17,1.608077,4.54,0.06
2024-2025,Influenza,ED Visits,65+,0.981346,4.77,0.00
2018-2019,Influenza,ED Visits,18_44,0.384231,1.23,0.01
2024-2025,RSV,ED Visits,18_44,0.042885,0.25,0.00
2020-2021,Broad Acute Respiratory,Admissions,00_04,4.815962,10.62,1.58
2023-2024,ILI,Admissions,45_64,0.625192,1.34,0.14
2018-2019,ILI,ED Visits,65+,0.779423,1.57,0.20
2018-2019,ILI,ED Visits,18_44,1.400577,2.57,0.51
2019-2020,Influenza,ED Visits,45_64,0.638462,3.39,0.00
2017-2018,Influenza,ED Visits,00_04,2.122308,12.51,0.00
2025-2026,RSV,Admissions,05_17,0.248571,3.01,0.00
2016-2017,Broad Acute Respiratory,ED Visits,00_04,25.096731,34.58,12.80
2023-2024,Influenza,ED Visits,05_17,2.614231,10.02,0.00
2024-2025,COVID-19,ED Visits,18_44,0.403462,1.03,0.12
2016-2017,COVID-19,ED Visits,45_64,0.000000,0.00,0.00
2025-2026,Influenza,ED Visits,18_44,0.863333,5.98,0.00
2019-2020,Influenza,Admissions,45_64,0.926731,5.45,0.00
2025-2026,RSV,Admissions,65+,0.254524,1.09,0.00
2018-2019,COVID-19,ED Visits,05_17,0.000000,0.00,0.00
2025-2026,ILI,Admissions,18_44,0.465952,1.56,0.07
2015-2016,COVID-19,ED Visits,18_44,0.000000,0.00,0.00
2022-2023,Influenza,Admissions,45_64,0.486538,4.25,0.00
2025-2026,ILI,ED Visits,00_04,4.277381,10.06,1.68
2020-2021,ILI,ED Visits,18_44,0.790000,1.48,0.37
2017-2018,ILI,ED Visits,00_04,8.681923,19.42,3.12
2024-2025,Broad Acute Respiratory,Admissions,05_17,19.459615,34.03,9.49
2019-2020,COVID-19,Admissions,05_17,1.591923,9.52,0.00
2025-2026,Broad Acute Respiratory,ED Visits,45_64,8.217857,14.81,4.21
2021-2022,RSV,ED Visits,18_44,0.012885,0.06,0.00
2016-2017,COVID-19,ED Visits,00_04,0.000000,0.00,0.00
2022-2023,RSV,ED Visits,18_44,0.026923,0.15,0.00
2019-2020,COVID-19,ED Visits,00_04,0.379808,2.48,0.00
2021-2022,RSV,Admissions,05_17,0.201346,3.16,0.00
2024-2025,ILI,Admissions,65+,0.588269,1.80,0.05
2024-2025,RSV,Admissions,05_17,0.195000,1.39,0.00
2022-2023,Broad Acute Respiratory,ED Visits,18_44,8.119808,18.33,4.85
2025-2026,ILI,Admissions,05_17,0.748810,2.44,0.00
2019-2020,Influenza,Admissions,05_17,1.204808,8.70,0.00
2025-2026,ILI,Admissions,45_64,0.615952,2.09,0.08
2015-2016,ILI,ED Visits,65+,0.635962,1.77,0.16
2023-2024,ILI,ED Visits,00_04,4.480192,8.69,1.21
2019-2020,COVID-19,Admissions,18_44,2.537500,13.07,0.00
2016-2017,Broad Acute Respiratory,ED Visits,45_64,6.042115,9.07,3.19
2021-2022,COVID-19,Admissions,65+,6.883654,34.60,1.20
2020-2021,RSV,Admissions,65+,0.019038,0.26,0.00
2021-2022,COVID-19,ED Visits,05_17,2.348269,15.78,0.14
2022-2023,COVID-19,ED Visits,45_64,1.292885,2.81,0.23
2019-2020,RSV,Admissions,05_17,0.315385,4.55,0.00
2024-2025,RSV,ED Visits,05_17,0.201154,1.37,0.00
2024-2025,COVID-19,ED Visits,45_64,0.501538,1.35,0.04
2018-2019,RSV,ED Visits,65+,0.047500,0.26,0.00
2017-2018,Influenza,ED Visits,45_64,0.569231,2.98,0.00
2022-2023,Broad Acute Respiratory,Admissions,00_04,8.185192,20.93,2.66
2023-2024,Broad Acute Respiratory,ED Visits,00_04,35.862885,49.03,20.99
2018-2019,Influenza,ED Visits,05_17,1.269808,4.80,0.00
2019-2020,ILI,Admissions,00_04,1.470000,6.09,0.00
2018-2019,Influenza,ED Visits,00_04,1.862500,7.36,0.00
2021-2022,RSV,Admissions,65+,0.062500,0.36,0.00
2024-2025,Broad Acute Respiratory,ED Visits,65+,11.957308,19.45,8.02
2019-2020,Influenza,Admissions,65+,0.806346,3.89,0.00
2022-2023,ILI,ED Visits,00_04,4.838462,11.85,1.52
2017-2018,Broad Acute Respiratory,ED Visits,65+,9.048462,17.30,6.10
2024-2025,ILI,Admissions,18_44,0.473269,1.30,0.06
2021-2022,ILI,Admissions,05_17,0.562500,3.53,0.00
2016-2017,RSV,ED Visits,05_17,0.008654,0.07,0.00
2021-2022,RSV,ED Visits,05_17,0.092692,0.80,0.00
2021-2022,ILI,ED Visits,65+,0.474808,1.67,0.14
2017-2018,Broad Acute Respiratory,ED Visits,05_17,17.649808,39.36,9.23
2019-2020,Influenza,ED Visits,18_44,0.981346,4.59,0.00
2019-2020,Influenza,Admissions,00_04,1.047308,7.38,0.00
2020-2021,RSV,ED Visits,18_44,0.004231,0.07,0.00
2019-2020,Broad Acute Respiratory,ED Visits,45_64,11.695000,28.45,6.37
2022-2023,RSV,Admissions,65+,0.098077,0.50,0.00
2018-2019,COVID-19,ED Visits,45_64,0.000000,0.00,0.00
2025-2026,COVID-19,ED Visits,65+,0.475714,1.78,0.00
2017-2018,Broad Acute Respiratory,ED Visits,00_04,31.324423,50.76,16.18
2023-2024,Influenza,Admissions,05_17,1.540000,5.52,0.00
2018-2019,ILI,ED Visits,45_64,0.994808,2.37,0.29
2017-2018,ILI,ED Visits,05_17,5.570192,19.25,1.82
2020-2021,ILI,Admissions,05_17,0.516731,2.78,0.00
2024-2025,COVID-19,Admissions,45_64,0.624808,1.99,0.06
2015-2016,COVID-19,ED Visits,45_64,0.000000,0.00,0.00
2022-2023,COVID-19,ED Visits,18_44,0.989038,2.31,0.18
2025-2026,ILI,ED Visits,65+,0.767143,2.57,0.16
2019-2020,COVID-19,Admissions,45_64,5.192115,26.99,0.00
2019-2020,COVID-19,ED Visits,05_17,0.607692,3.35,0.00
2022-2023,COVID-19,ED Visits,00_04,1.857885,4.63,0.23
2022-2023,Broad Acute Respiratory,ED Visits,05_17,21.419808,48.91,10.37
2022-2023,Influenza,ED Visits,45_64,0.445000,3.62,0.02
2024-2025,RSV,ED Visits,45_64,0.076538,0.43,0.00
2023-2024,Influenza,ED Visits,18_44,0.963077,4.50,0.02
2019-2020,Broad Acute Respiratory,ED Visits,00_04,31.661538,55.43,7.20
2022-2023,COVID-19,ED Visits,05_17,0.635192,1.54,0.00
2025-2026,Broad Acute Respiratory,Admissions,45_64,15.585714,22.61,8.51
2016-2017,ILI,ED Visits,65+,0.769615,2.07,0.19
2015-2016,Influenza,ED Visits,05_17,0.226538,1.53,0.00
2022-2023,Influenza,ED Visits,18_44,0.745577,7.15,0.01
2016-2017,Influenza,ED Visits,45_64,0.213462,1.26,0.00
2017-2018,RSV,ED Visits,18_44,0.006923,0.05,0.00
2023-2024,Broad Acute Respiratory,Admissions,65+,20.205769,30.68,16.79
2018-2019,Influenza,ED Visits,65+,0.334231,1.52,0.00
2017-2018,ILI,ED Visits,45_64,1.371538,4.65,0.28
2025-2026,COVID-19,Admissions,05_17,0.237143,2.13,0.00
2019-2020,RSV,Admissions,65+,0.142500,1.07,0.00
2020-2021,COVID-19,Admissions,05_17,2.232692,8.62,0.00
2025-2026,Broad Acute Respiratory,ED Visits,18_44,6.967143,15.28,3.49
2019-2020,Broad Acute Respiratory,ED Visits,18_44,10.890000,25.74,5.30
2021-2022,Broad Acute Respiratory,ED Visits,05_17,17.290385,37.68,8.14
2023-2024,Influenza,ED Visits,00_04,2.511346,9.89,0.00
2018-2019,Broad Acute Respiratory,ED Visits,65+,9.007308,12.81,6.77
2024-2025,Influenza,Admissions,00_04,0.571923,3.55,0.00
2021-2022,Broad Acute Respiratory,ED Visits,45_64,9.063462,25.45,5.02
2023-2024,COVID-19,ED Visits,45_64,1.153269,3.01,0.24
2022-2023,ILI,Admissions,65+,0.494423,1.46,0.00
2019-2020,Influenza,ED Visits,65+,0.556731,2.98,0.00
2024-2025,ILI,ED Visits,45_64,1.201154,3.31,0.20
2020-2021,ILI,ED Visits,45_64,0.626538,1.55,0.21
2022-2023,COVID-19,Admissions,00_04,0.390962,1.36,0.00
2025-2026,Broad Acute Respiratory,Admissions,65+,21.078095,31.43,13.01
2024-2025,ILI,Admissions,05_17,0.695385,2.55,0.00
2018-2019,Broad Acute Respiratory,ED Visits,00_04,34.107500,48.92,19.62
2025-2026,Broad Acute Respiratory,Admissions,05_17,17.107143,34.75,5.26
2023-2024,COVID-19,Admissions,45_64,1.294423,4.10,0.15
2023-2024,COVID-19,ED Visits,05_17,0.734808,1.75,0.13
2024-2025,Influenza,Admissions,45_64,1.016346,5.20,0.00
2015-2016,RSV,ED Visits,65+,0.032500,0.19,0.00
2019-2020,Broad Acute Respiratory,ED Visits,05_17,18.960577,43.69,5.28
2020-2021,Influenza,Admissions,45_64,0.036731,0.21,0.00
2022-2023,COVID-19,Admissions,45_64,1.820000,4.55,0.26
2024-2025,ILI,ED Visits,00_04,4.721154,10.12,1.25
2016-2017,COVID-19,ED Visits,05_17,0.000000,0.00,0.00
2019-2020,COVID-19,Admissions,00_04,0.133269,1.10,0.00
2025-2026,ILI,Admissions,65+,0.552619,2.22,0.06
2015-2016,Broad Acute Respiratory,ED Visits,65+,5.094808,7.99,3.39
2025-2026,ILI,Admissions,00_04,0.302381,1.37,0.00
2020-2021,ILI,Admissions,45_64,0.556923,1.44,0.06
2022-2023,ILI,Admissions,45_64,0.491923,1.60,0.07
2021-2022,COVID-19,ED Visits,18_44,2.824231,18.47,0.26
2021-2022,RSV,ED Visits,65+,0.036731,0.15,0.00
2022-2023,Broad Acute Respiratory,Admissions,65+,20.080192,29.35,15.54
2020-2021,Broad Acute Respiratory,ED Visits,18_44,7.614231,12.57,4.60
2024-2025,COVID-19,ED Visits,05_17,0.386154,1.50,0.00
2020-2021,Influenza,Admissions,18_44,0.018846,0.13,0.00
2021-2022,ILI,ED Visits,45_64,0.656538,2.44,0.17
2021-2022,ILI,Admissions,18_44,0.241731,0.95,0.00
2022-2023,ILI,ED Visits,18_44,1.396538,5.49,0.48
2020-2021,RSV,Admissions,05_17,0.161731,2.15,0.00
2015-2016,Influenza,ED Visits,18_44,0.152500,0.87,0.00
2022-2023,Broad Acute Respiratory,Admissions,05_17,18.051346,34.95,6.56
