season,respiratory_category,visit_type,demographic_group,avg_percent,max_percent,min_percent
2018-2019,RSV,ED Visits,Hispanic or Latino,0.201923,1.38,0.00
2020-2021,Broad Acute Respiratory,Admissions,Unknown Race/Ethnicity,13.503269,23.03,7.80
2020-2021,Influenza,Admissions,Hispanic or Latino,0.049808,0.19,0.00
2021-2022,Influenza,Admissions,Other Race/Ethnicity,0.141923,0.93,0.00
2021-2022,RSV,Admissions,White Non-Hispanic,0.092500,0.43,0.00
2022-2023,Broad Acute Respiratory,ED Visits,Other Race/Ethnicity,12.804231,26.00,7.50
2017-2018,Broad Acute Respiratory,ED Visits,Black Non-Hispanic,10.548077,18.33,5.93
2025-2026,ILI,ED Visits,Unknown Race/Ethnicity,1.626667,4.75,0.43
2020-2021,COVID-19,Admissions,Unknown Race/Ethnicity,5.189038,14.37,0.16
2020-2021,RSV,ED Visits,Asian Non-Hispanic,0.066154,0.63,0.00
2018-2019,RSV,ED Visits,Asian Non-Hispanic,0.174808,1.58,0.00
2022-2023,RSV,Admissions,Hispanic or Latino,0.345385,2.18,0.00
2024-2025,Broad Acute Respiratory,Admissions,White Non-Hispanic,13.444231,20.81,9.35
2017-2018,RSV,ED Visits,Hispanic or Latino,0.213654,0.97,0.00
2021-2022,COVID-19,Admissions,Asian Non-Hispanic,4.402115,18.52,0.00
2025-2026,ILI,Admissions,Asian Non-Hispanic,0.399048,1.58,0.00
2023-2024,Influenza,Admissions,Other Race/Ethnicity,0.635769,3.51,0.00
2023-2024,COVID-19,Admissions,Asian Non-Hispanic,1.866346,5.88,0.00
2022-2023,ILI,ED Visits,Black Non-Hispanic,1.652308,5.73,0.44
2023-2024,ILI,ED Visits,Black Non-Hispanic,1.784038,4.48,0.48
2025-2026,Influenza,Admissions,White Non-Hispanic,0.758333,6.00,0.00
2015-2016,COVID-19,ED Visits,Other Race/Ethnicity,0.000000,0.00,0.00
2022-2023,Influenza,Admissions,Unknown Race/Ethnicity,0.227885,2.73,0.00
2024-2025,COVID-19,Admissions,Unknown Race/Ethnicity,0.383846,1.88,0.00
2017-2018,Influenza,ED Visits,Unknown Race/Ethnicity,0.568654,3.62,0.00
2022-2023,COVID-19,Admissions,Black Non-Hispanic,2.027500,4.62,0.24
2016-2017,Influenza,ED Visits,Hispanic or Latino,0.654423,3.89,0.00
2015-2016,COVID-19,ED Visits,Black Non-Hispanic,0.000000,0.00,0.00
2016-2017,COVID-19,ED Visits,Asian Non-Hispanic,0.000000,0.00,0.00
2024-2025,COVID-19,ED Visits,Other Race/Ethnicity,0.571538,1.59,0.00
2019-2020,ILI,Admissions,Other Race/Ethnicity,1.099615,4.09,0.00
2021-2022,ILI,ED Visits,White Non-Hispanic,0.756346,1.91,0.19
2024-2025,Influenza,Admissions,Black Non-Hispanic,1.055385,5.22,0.00
2021-2022,Influenza,Admissions,Black Non-Hispanic,0.154808,0.88,0.00
2025-2026,Influenza,Admissions,Unknown Race/Ethnicity,0.401190,3.02,0.00
2015-2016,Broad Acute Respiratory,ED Visits,Other Race/Ethnicity,7.411346,12.98,3.77
2021-2022,RSV,ED Visits,Hispanic or Latino,0.179615,0.88,0.00
2022-2023,COVID-19,ED Visits,Asian Non-Hispanic,2.396731,5.48,0.00
2020-2021,ILI,Admissions,Other Race/Ethnicity,0.452692,1.67,0.00
2023-2024,Broad Acute Respiratory,Admissions,Asian Non-Hispanic,13.152885,20.92,8.07
2021-2022,ILI,Admissions,Unknown Race/Ethnicity,0.161538,0.71,0.00
2022-2023,RSV,ED Visits,Unknown Race/Ethnicity,0.202115,1.68,0.00
2021-2022,COVID-19,Admissions,Other Race/Ethnicity,4.545577,24.63,0.00
2021-2022,COVID-19,ED Visits,Asian Non-Hispanic,4.423269,16.67,0.00
2025-2026,COVID-19,Admissions,Hispanic or Latino,0.435714,2.01,0.00
2018-2019,Broad Acute Respiratory,ED Visits,Other Race/Ethnicity,11.392500,19.02,5.92
2019-2020,COVID-19,Admissions,Hispanic or Latino,6.285577,33.75,0.00
2025-2026,Broad Acute Respiratory,ED Visits,Hispanic or Latino,12.701429,26.04,6.15
2025-2026,COVID-19,ED Visits,Unknown Race/Ethnicity,0.289762,1.46,0.00
2025-2026,Broad Acute Respiratory,ED Visits,Other Race/Ethnicity,12.288571,26.28,4.68
2022-2023,Broad Acute Respiratory,Admissions,White Non-Hispanic,13.246538,20.22,9.45
2020-2021,Broad Acute Respiratory,Admissions,Hispanic or Latino,15.770385,33.76,7.56
2021-2022,RSV,ED Visits,Other Race/Ethnicity,0.155577,0.96,0.00
2018-2019,COVID-19,ED Visits,Other Race/Ethnicity,0.000000,0.00,0.00
2019-2020,Broad Acute Respiratory,ED Visits,White Non-Hispanic,11.254231,22.93,5.78
2022-2023,RSV,Admissions,White Non-Hispanic,0.153077,0.85,0.00
2020-2021,ILI,ED Visits,Unknown Race/Ethnicity,0.713846,1.63,0.26
2019-2020,Influenza,Admissions,Black Non-Hispanic,0.820577,4.37,0.00
2018-2019,Influenza,ED Visits,Hispanic or Latino,0.828462,3.05,0.02
2025-2026,ILI,Admissions,Black Non-Hispanic,0.692619,2.33,0.16
2021-2022,COVID-19,Admissions,Hispanic or Latino,4.677115,27.26,0.53
2017-2018,Influenza,ED Visits,Asian Non-Hispanic,1.458269,8.86,0.00
2016-2017,Broad Acute Respiratory,ED Visits,Other Race/Ethnicity,11.904231,20.98,4.88
2024-2025,COVID-19,ED Visits,Unknown Race/Ethnicity,0.476731,1.38,0.00
2024-2025,Broad Acute Respiratory,ED Visits,White Non-Hispanic,10.438077,18.73,5.63
2020-2021,COVID-19,Admissions,White Non-Hispanic,4.337885,12.62,0.31
2021-2022,RSV,ED Visits,Asian Non-Hispanic,0.238846,1.37,0.00
2016-2017,RSV,ED Visits,Other Race/Ethnicity,0.149615,1.61,0.00
2022-2023,COVID-19,Admissions,Asian Non-Hispanic,2.416538,7.19,0.00
2020-2021,COVID-19,ED Visits,Black Non-Hispanic,2.675577,6.36,0.25
2020-2021,RSV,Admissions,Other Race/Ethnicity,0.089615,0.99,0.00
2019-2020,RSV,Admissions,Other Race/Ethnicity,0.312692,4.55,0.00
2017-2018,COVID-19,ED Visits,Black Non-Hispanic,0.000000,0.00,0.00
2018-2019,COVID-19,ED Visits,Unknown Race/Ethnicity,0.000000,0.00,0.00
2024-2025,RSV,Admissions,Hispanic or Latino,0.391923,3.23,0.00
2016-2017,COVID-19,ED Visits,Other Race/Ethnicity,0.000000,0.00,0.00
2024-2025,Influenza,ED Visits,White Non-Hispanic,1.317500,5.91,0.00
2021-2022,RSV,Admissions,Other Race/Ethnicity,0.119808,1.44,0.00
2024-2025,ILI,Admissions,Hispanic or Latino,0.512115,1.38,0.08
2021-2022,Broad Acute Respiratory,ED Visits,White Non-Hispanic,11.043462,25.12,6.96
2022-2023,COVID-19,Admissions,Other Race/Ethnicity,2.055000,5.77,0.00
2023-2024,ILI,Admissions,Asian Non-Hispanic,0.467885,3.92,0.00
2017-2018,Influenza,ED Visits,Black Non-Hispanic,0.716154,3.99,0.00
2020-2021,COVID-19,Admissions,Asian Non-Hispanic,4.852885,20.18,0.00
2022-2023,Influenza,ED Visits,Unknown Race/Ethnicity,0.654808,6.83,0.00
2015-2016,Broad Acute Respiratory,ED Visits,Asian Non-Hispanic,8.249038,14.03,2.46
2020-2021,RSV,Admissions,Unknown Race/Ethnicity,0.054808,0.48,0.00
2024-2025,ILI,Admissions,Asian Non-Hispanic,0.461538,2.35,0.00
2015-2016,Broad Acute Respiratory,ED Visits,Hispanic or Latino,8.892115,14.09,5.88
2020-2021,Broad Acute Respiratory,ED Visits,Black Non-Hispanic,10.782308,15.05,6.82
2021-2022,Influenza,ED Visits,Unknown Race/Ethnicity,0.289808,1.45,0.00
2022-2023,COVID-19,ED Visits,Unknown Race/Ethnicity,0.883846,2.04,0.00
